dataset_label,variant_label,dataset_root,scan_index,scan_file,hr_path,height,width,num_pixels,scan_mean_dS_rad,scan_std_dS_rad,scan_max_dS_rad
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,19,IN718_test_hr_x_block_279.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_279.npy,128,128,16384,0.00808230135589838,0.0026696622371673584,0.01694277673959732
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,20,IN718_test_hr_x_block_297.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_297.npy,128,128,16384,0.007944278419017792,0.002224008087068796,0.013758818618953228
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,21,IN718_test_hr_x_block_322.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_322.npy,128,128,16384,0.007771877106279135,0.002278907923027873,0.014810336753726006
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,22,IN718_test_hr_x_block_370.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_370.npy,128,128,16384,0.008118296042084694,0.0023533266503363848,0.013192657381296158
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,23,IN718_test_hr_x_block_375.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_375.npy,128,128,16384,0.007870208472013474,0.0022079129703342915,0.012544193305075169
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,24,IN718_test_hr_x_block_381.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_381.npy,128,128,16384,0.007804472930729389,0.0024139077868312597,0.013192657381296158
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,25,IN718_test_hr_x_block_389.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_389.npy,128,128,16384,0.007313113659620285,0.0023101402912288904,0.01278888899832964
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,26,IN718_test_hr_x_block_392.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_392.npy,128,128,16384,0.007370630279183388,0.002346375724300742,0.012770232744514942
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,27,IN718_test_hr_x_block_396.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_396.npy,128,128,16384,0.007822620682418346,0.0024934327229857445,0.013192657381296158
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,28,IN718_test_hr_x_block_40.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_40.npy,128,128,16384,0.00765530439093709,0.002736613852903247,0.012601083144545555
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,29,IN718_test_hr_x_block_403.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_403.npy,128,128,16384,0.00743265962228179,0.002158612012863159,0.013047277927398682
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,30,IN718_test_hr_x_block_408.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_408.npy,128,128,16384,0.00733356224372983,0.00254424917511642,0.012582148425281048
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,31,IN718_test_hr_x_block_41.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_41.npy,128,128,16384,0.007908408530056477,0.002438371069729328,0.013496387749910355
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,32,IN718_test_hr_x_block_411.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_411.npy,128,128,16384,0.0074409907683730125,0.0022253161296248436,0.012918730266392231
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,33,IN718_test_hr_x_block_412.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_412.npy,128,128,16384,0.007857630029320717,0.0023353176657110453,0.014118028804659843
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,34,IN718_test_hr_x_block_416.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_416.npy,128,128,16384,0.008169926702976227,0.002087915549054742,0.012352666817605495
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,35,IN718_test_hr_x_block_427.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_427.npy,128,128,16384,0.008221943862736225,0.0021747334394603968,0.012992342002689838
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,36,IN718_test_hr_x_block_446.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_446.npy,128,128,16384,0.008030352182686329,0.0025603603571653366,0.01438569463789463
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,37,IN718_test_hr_x_block_447.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_447.npy,128,128,16384,0.006466304417699575,0.0027808318845927715,0.012371952645480633
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,38,IN718_test_hr_x_block_454.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_454.npy,128,128,16384,0.008205177262425423,0.0024723652750253677,0.012676539830863476
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,39,IN718_test_hr_x_block_458.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_458.npy,128,128,16384,0.006746996194124222,0.0026455367915332317,0.015942256897687912
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,40,IN718_test_hr_x_block_467.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_467.npy,128,128,16384,0.007095830515027046,0.002324808854609728,0.015238793566823006
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,41,IN718_test_hr_x_block_47.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_47.npy,128,128,16384,0.007714184932410717,0.00240754010155797,0.013246762566268444
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,42,IN718_test_hr_x_block_496.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_x_block_496.npy,128,128,16384,0.007841940969228745,0.0022021939512342215,0.012275219894945621
